repo,Claude Haiku 4.5_attempt_1_percent,Claude Haiku 4.5_attempt_2_percent,Claude Sonnet 4.6_attempt_1_percent,Claude Sonnet 4.6_attempt_2_percent,Qwen3 Coder 30B_attempt_1_percent,Qwen3 Coder 30B_attempt_2_percent
Instagram__MonkeyType.70c3acf6,30.303,31.3131,41.4141,41.4141,45.4545,45.4545
combined_excluding_pyupio,54.9309,56.0369,62.3963,64.0553,58.341,62.4885
encode__starlette.db5063c2,67.4157,73.0337,82.0225,83.1461,75.2809,82.0225
facebookresearch__fvcore.a491d5b9,52.7778,52.7778,58.3333,59.7222,51.3889,52.7778
lepture__mistune.bf54ef67,68.8172,68.8172,70.9677,73.1183,77.4194,78.4946
mahmoud__glom.fb3c4e76,26.1538,26.1538,22.0513,22.5641,27.6923,38.4615
oauthlib__oauthlib.1fd52536,76.9231,76.9231,80.0,80.0,75.3846,75.3846
pallets__markupsafe.620c06c9,41.6667,41.6667,91.6667,100.0,33.3333,33.3333
pyupio__safety.7654596b,94.7368,94.7368,,,97.3684,97.3684
seperman__deepdiff.ed252022,69.6078,70.915,83.6601,85.6209,75.817,78.4314
tkrajina__gpxpy.09fc46b3,39.3258,41.573,46.0674,52.809,26.9663,35.9551
