repo,Claude Haiku 4.5_attempt_1_percent,Claude Haiku 4.5_attempt_2_percent,Claude Sonnet 4.6_attempt_1_percent,Claude Sonnet 4.6_attempt_2_percent,Qwen3 Coder 30B_attempt_1_percent,Qwen3 Coder 30B_attempt_2_percent
Instagram__MonkeyType.70c3acf6,57.2549,62.3529,65.4902,68.2353,60.7843,62.7451
combined_excluding_pyupio,70.7217,74.442,75.4464,78.5342,68.2292,72.2842
encode__starlette.db5063c2,81.5331,85.0174,87.108,90.5923,82.9268,86.4111
facebookresearch__fvcore.a491d5b9,76.1134,79.3522,79.3522,82.996,66.8016,70.0405
lepture__mistune.bf54ef67,70.2041,74.2857,75.9184,80.0,71.4286,72.6531
mahmoud__glom.fb3c4e76,57.2062,60.0887,57.8714,59.4235,53.2151,61.6408
oauthlib__oauthlib.1fd52536,85.5362,88.0299,86.2843,88.5287,81.7955,83.5411
pallets__markupsafe.620c06c9,66.6667,69.697,96.9697,100.0,63.6364,66.6667
pyupio__safety.7654596b,98.062,98.062,,,98.4496,98.4496
seperman__deepdiff.ed252022,76.0829,79.2844,85.1224,87.9473,76.2712,80.226
tkrajina__gpxpy.09fc46b3,56.3025,63.8655,57.9832,64.2857,44.958,51.6807
