repo,Claude Haiku 4.5_attempt_1_percent,Claude Haiku 4.5_attempt_2_percent,Claude Sonnet 4.6_attempt_1_percent,Claude Sonnet 4.6_attempt_2_percent,Qwen3 Coder 30B_attempt_1_percent,Qwen3 Coder 30B_attempt_2_percent
Instagram__MonkeyType.70c3acf6,74.359,82.0513,80.7692,85.2564,70.5128,73.7179
combined_excluding_pyupio,81.3591,86.8454,84.2269,88.2793,74.8753,78.8653
encode__starlette.db5063c2,87.8788,90.404,89.3939,93.9394,86.3636,88.3838
facebookresearch__fvcore.a491d5b9,85.7143,90.2857,88.0,92.5714,73.1429,77.1429
lepture__mistune.bf54ef67,71.0526,77.6316,78.9474,84.2105,67.7632,69.0789
mahmoud__glom.fb3c4e76,80.8594,85.9375,85.1562,87.5,72.6562,79.2969
oauthlib__oauthlib.1fd52536,89.3382,93.0147,88.9706,92.2794,84.5588,87.1324
pallets__markupsafe.620c06c9,80.9524,85.7143,100.0,100.0,80.9524,85.7143
pyupio__safety.7654596b,99.4505,99.4505,,,98.9011,98.9011
seperman__deepdiff.ed252022,84.8889,90.6667,87.1111,91.1111,76.8889,82.6667
tkrajina__gpxpy.09fc46b3,66.443,77.1812,65.1007,71.1409,55.7047,61.0738
