repository,Claude Haiku 4.5,,Claude Sonnet 4.6,,Qwen3 Coder 30B,
,Attempt 1,Attempt 2,Attempt 1,Attempt 2,Attempt 1,Attempt 2
Instagram MonkeyType,-0.74,-1.78,0.21,-0.14,-1.05,0.88
encode starlette,-0.37,-1.73,-0.43,-2.94,-0.09,0.43
facebookresearch fvcore,-0.23,-1.78,0.42,1.37,0.01,-0.45
lepture mistune,-0.22,-0.31,-0.06,-0.10,-0.89,-0.45
mahmoud glom,-2.33,-4.34,0.05,0.41,-7.46,-12.04
oauthlib oauthlib,0.80,6.52,1.47,9.42,0.90,4.24
pallets markupsafe,-0.46,-0.80,-0.55,-2.00,-0.12,0.08
pyupio safety,-1.97,0.33,-0.93,None,-2.79,-0.25
seperman deepdiff,-0.34,-1.11,-0.24,-1.17,-1.51,-3.68
tkrajina gpxpy,-1.94,-5.58,-1.34,-2.71,0.23,3.02
