repository,Claude Haiku 4.5,,Claude Sonnet 4.6,,Qwen3 Coder 30B,
,Attempt 1,Attempt 2,Attempt 1,Attempt 2,Attempt 1,Attempt 2
Instagram MonkeyType,-1.63,-7.08,-3.60,-13.10,-7.43,-8.63
encode starlette,1.83,0.55,-1.05,-0.46,-1.19,-1.39
facebookresearch fvcore,-4.16,-27.36,-0.95,-10.00,-4.91,-10.44
lepture mistune,-0.21,-1.12,0.57,-0.35,-3.67,-5.56
mahmoud glom,-1.59,-7.68,2.98,2.05,-16.32,-24.08
oauthlib oauthlib,-0.71,6.68,0.17,11.24,-0.31,5.08
pallets markupsafe,2.12,4.70,-1.15,-2.00,-0.70,0.58
pyupio safety,-6.67,-31.33,-3.88,None,-12.60,-19.25
seperman deepdiff,-13.71,-5.61,-8.89,-4.54,-15.66,-19.50
tkrajina gpxpy,-0.12,-4.73,-1.98,-5.25,-0.43,4.37
