repository,Claude Haiku 4.5,,Claude Sonnet 4.6,,Qwen3 Coder 30B,
,Attempt 1,Attempt 2,Attempt 1,Attempt 2,Attempt 1,Attempt 2
Instagram MonkeyType,-1.63 / -0.74,-7.08 / -1.78,-3.60 / 0.21,-13.10 / -0.14,-7.43 / -1.05,-8.63 / 0.88
encode starlette,1.83 / -0.37,0.55 / -1.73,-1.05 / -0.43,-0.46 / -2.94,-1.19 / -0.09,-1.39 / 0.43
facebookresearch fvcore,-4.16 / -0.23,-27.36 / -1.78,-0.95 / 0.42,-10.00 / 1.37,-4.91 / 0.01,-10.44 / -0.45
lepture mistune,-0.21 / -0.22,-1.12 / -0.31,0.57 / -0.06,-0.35 / -0.10,-3.67 / -0.89,-5.56 / -0.45
mahmoud glom,-1.59 / -2.33,-7.68 / -4.34,2.98 / 0.05,2.05 / 0.41,-16.32 / -7.46,-24.08 / -12.04
oauthlib oauthlib,-0.71 / 0.80,6.68 / 6.52,0.17 / 1.47,11.24 / 9.42,-0.31 / 0.90,5.08 / 4.24
pallets markupsafe,2.12 / -0.46,4.70 / -0.80,-1.15 / -0.55,-2.00 / -2.00,-0.70 / -0.12,0.58 / 0.08
pyupio safety,-6.67 / -1.97,-31.33 / 0.33,-3.88 / -0.93,None / None,-12.60 / -2.79,-19.25 / -0.25
seperman deepdiff,-13.71 / -0.34,-5.61 / -1.11,-8.89 / -0.24,-4.54 / -1.17,-15.66 / -1.51,-19.50 / -3.68
tkrajina gpxpy,-0.12 / -1.94,-4.73 / -5.58,-1.98 / -1.34,-5.25 / -2.71,-0.43 / 0.23,4.37 / 3.02
