repository,Claude Haiku 4.5,,Claude Sonnet 4.6,,Qwen3 Coder 30B,
,Successful,Unsuccessful,Successful,Unsuccessful,Successful,Unsuccessful
Instagram MonkeyType,0.37,-2.33,0.28,-0.05,-1.54,0.35
encode starlette,-0.08,-2.07,-0.02,-4.21,-0.07,0.15
facebookresearch fvcore,0.21,-1.95,0.40,1.04,0.38,-0.65
lepture mistune,-0.14,-0.39,-0.06,-0.07,-0.57,-1.09
mahmoud glom,-0.62,-4.84,-0.33,0.85,-5.70,-11.11
oauthlib oauthlib,0.10,6.13,0.14,10.76,0.10,4.63
pallets markupsafe,0.00,-1.11,-0.55,-2.00,0.00,-0.13
pyupio safety,-2.01,0.83,None,None,-2.83,-0.25
seperman deepdiff,0.15,-1.81,0.26,-2.45,0.32,-6.10
tkrajina gpxpy,-0.29,-6.74,0.11,-4.11,0.37,1.89
