repository,Claude Haiku 4.5,,Claude Sonnet 4.6,,Qwen3 Coder 30B,
,Successful,Unsuccessful,Successful,Unsuccessful,Successful,Unsuccessful
Instagram MonkeyType,2.54,-8.74,-0.30,-12.64,-3.23,-11.66
encode starlette,2.22,-0.28,-0.04,-5.81,-1.03,-1.75
facebookresearch fvcore,1.35,-27.84,-0.34,-8.80,-1.10,-12.18
lepture mistune,0.84,-2.32,-0.15,1.55,-1.49,-7.47
mahmoud glom,2.93,-8.94,2.19,3.64,-9.87,-24.90
oauthlib oauthlib,-1.51,6.40,-1.47,12.66,-1.15,4.70
pallets markupsafe,2.35,3.21,-1.15,-2.00,-0.64,-0.09
pyupio safety,-6.41,-30.00,None,None,-12.48,-19.75
seperman deepdiff,-14.75,-7.03,-9.09,-5.67,-9.92,-28.54
tkrajina gpxpy,3.27,-8.65,0.63,-7.68,2.40,0.22
