repository,Claude Haiku 4.5,,Claude Sonnet 4.6,,Qwen3 Coder 30B,
,Successful,Unsuccessful,Successful,Unsuccessful,Successful,Unsuccessful
Instagram MonkeyType,2.54 / 0.37,-8.74 / -2.33,-0.30 / 0.28,-12.64 / -0.05,-3.23 / -1.54,-11.66 / 0.35
encode starlette,2.22 / -0.08,-0.28 / -2.07,-0.04 / -0.02,-5.81 / -4.21,-1.03 / -0.07,-1.75 / 0.15
facebookresearch fvcore,1.35 / 0.21,-27.84 / -1.95,-0.34 / 0.40,-8.80 / 1.04,-1.10 / 0.38,-12.18 / -0.65
lepture mistune,0.84 / -0.14,-2.32 / -0.39,-0.15 / -0.06,1.55 / -0.07,-1.49 / -0.57,-7.47 / -1.09
mahmoud glom,2.93 / -0.62,-8.94 / -4.84,2.19 / -0.33,3.64 / 0.85,-9.87 / -5.70,-24.90 / -11.11
oauthlib oauthlib,-1.51 / 0.10,6.40 / 6.13,-1.47 / 0.14,12.66 / 10.76,-1.15 / 0.10,4.70 / 4.63
pallets markupsafe,2.35 / 0.00,3.21 / -1.11,-1.15 / -0.55,-2.00 / -2.00,-0.64 / 0.00,-0.09 / -0.13
pyupio safety,-6.41 / -2.01,-30.00 / 0.83,None / None,None / None,-12.48 / -2.83,-19.75 / -0.25
seperman deepdiff,-14.75 / 0.15,-7.03 / -1.81,-9.09 / 0.26,-5.67 / -2.45,-9.92 / 0.32,-28.54 / -6.10
tkrajina gpxpy,3.27 / -0.29,-8.65 / -6.74,0.63 / 0.11,-7.68 / -4.11,2.40 / 0.37,0.22 / 1.89
