repo,model,model_label,success_definition,attempt_1_count,attempt_1_avg_net_loc_change,attempt_1_avg_complexity_change,attempt_1_complexity_row_count,attempt_1_matched_row_count,attempt_1_validation_row_count,attempt_2_count,attempt_2_avg_net_loc_change,attempt_2_avg_complexity_change,attempt_2_complexity_row_count,attempt_2_matched_row_count,attempt_2_validation_row_count,attempt_delta_avg_net_loc_change,attempt_delta_avg_complexity_change,successful_count,successful_avg_net_loc_change,successful_avg_complexity_change,successful_complexity_row_count,successful_matched_row_count,successful_validation_row_count,unsuccessful_count,unsuccessful_avg_net_loc_change,unsuccessful_avg_complexity_change,unsuccessful_complexity_row_count,unsuccessful_matched_row_count,unsuccessful_validation_row_count,success_delta_avg_net_loc_change,success_delta_avg_complexity_change,coverage_rows_considered,coverage_rows_matched,coverage_rows_unmatched,coverage_rows_with_complexity,coverage_rows_without_complexity,coverage_rows_with_validation_report,coverage_rows_unmatched_missing_validation,coverage_rows_unmatched_missing_attempt_label,coverage_rows_unmatched_missing_join_key
Instagram__MonkeyType.70c3acf6,bedrock_converse_arn_aws_bedrock_eu_west_1_210939678973_application_inference_profile_gewiaj6mtzjm,Qwen3 Coder 30B,full_fix,253,-7.430830039525691,-1.051792828685259,251,253,253,97,-8.628865979381443,0.875,96,97,97,-1.1980359398557514,1.926792828685259,162,-3.234567901234568,-1.5408805031446542,159,162,162,188,-11.664893617021276,0.34574468085106386,188,188,188,8.430325715786708,-1.886625183995718,350,350,0,347,3,350,0,0,0
Instagram__MonkeyType.70c3acf6,bedrock_converse_arn_aws_bedrock_eu_west_1_210939678973_application_inference_profile_ql4mbrrqznnz,Claude Sonnet 4.6,full_fix,251,-3.597609561752988,0.2145748987854251,247,251,251,81,-13.098765432098766,-0.13580246913580246,81,81,81,-9.501155870345778,-0.35037736792122753,181,-0.30386740331491713,0.2768361581920904,177,181,181,151,-12.642384105960264,-0.046357615894039736,151,151,151,12.338516702645347,0.32319377408613015,332,332,0,328,4,332,0,0,0
Instagram__MonkeyType.70c3acf6,bedrock_converse_arn_aws_bedrock_eu_west_1_210939678973_application_inference_profile_wxnknl6gvktb,Claude Haiku 4.5,full_fix,243,-1.6296296296296295,-0.7426160337552743,237,243,243,87,-7.080459770114943,-1.783132530120482,83,87,87,-5.450830140485313,-1.0405164963652076,166,2.536144578313253,0.3717948717948718,156,166,166,164,-8.737804878048781,-2.3292682926829267,164,164,164,11.273949456362034,2.7010631644777985,330,330,0,320,10,330,0,0,0
encode__starlette.db5063c2,bedrock_converse_arn_aws_bedrock_eu_west_1_210939678973_application_inference_profile_gewiaj6mtzjm,Qwen3 Coder 30B,full_fix,285,-1.1894736842105262,-0.08865248226950355,282,285,285,51,-1.392156862745098,0.43137254901960786,51,51,51,-0.20268317853457174,0.5200250312891114,248,-1.032258064516129,-0.0653061224489796,245,248,248,88,-1.75,0.14772727272727273,88,88,88,0.717741935483871,-0.21303339517625233,336,336,0,333,3,336,0,0,0
encode__starlette.db5063c2,bedrock_converse_arn_aws_bedrock_eu_west_1_210939678973_application_inference_profile_ql4mbrrqznnz,Claude Sonnet 4.6,full_fix,282,-1.049645390070922,-0.43214285714285716,280,282,282,39,-0.46153846153846156,-2.942857142857143,35,39,39,0.5881069285324604,-2.510714285714286,269,-0.04460966542750929,-0.019011406844106463,263,269,269,52,-5.8076923076923075,-4.211538461538462,52,52,52,5.7630826422647985,4.192527054694355,321,321,0,315,6,321,0,0,0
encode__starlette.db5063c2,bedrock_converse_arn_aws_bedrock_eu_west_1_210939678973_application_inference_profile_wxnknl6gvktb,Claude Haiku 4.5,full_fix,276,1.826086956521739,-0.3650190114068441,263,276,276,38,0.5526315789473685,-1.7297297297297298,37,38,38,-1.2734553775743707,-1.3647107183228857,245,2.220408163265306,-0.08189655172413793,232,245,245,69,-0.2753623188405797,-2.073529411764706,68,69,69,2.4957704821058857,1.9916328600405682,314,314,0,300,14,314,0,0,0
facebookresearch__fvcore.a491d5b9,bedrock_converse_arn_aws_bedrock_eu_west_1_210939678973_application_inference_profile_gewiaj6mtzjm,Qwen3 Coder 30B,full_fix,247,-4.906882591093117,0.012448132780082987,241,247,247,82,-10.439024390243903,-0.4473684210526316,76,82,82,-5.532141799150786,-0.4598165538327146,175,-1.1028571428571428,0.3764705882352941,170,175,175,154,-12.175324675324676,-0.6462585034013606,147,154,154,11.072467532467533,1.0227290916366547,329,329,0,317,12,329,0,0,0
facebookresearch__fvcore.a491d5b9,bedrock_converse_arn_aws_bedrock_eu_west_1_210939678973_application_inference_profile_ql4mbrrqznnz,Claude Sonnet 4.6,full_fix,226,-0.9469026548672567,0.4189189189189189,222,226,226,33,-10.0,1.3703703703703705,27,33,33,-9.053097345132743,0.9514514514514516,205,-0.33658536585365856,0.39800995024875624,201,205,205,54,-8.796296296296296,1.0416666666666667,48,54,54,8.459710930442638,-0.6436567164179106,259,259,0,249,10,259,0,0,0
facebookresearch__fvcore.a491d5b9,bedrock_converse_arn_aws_bedrock_eu_west_1_210939678973_application_inference_profile_wxnknl6gvktb,Claude Haiku 4.5,full_fix,243,-4.156378600823046,-0.23376623376623376,231,243,243,53,-27.358490566037737,-1.78,50,53,53,-23.20211196521469,-1.5462337662337662,198,1.3535353535353536,0.21390374331550802,187,198,198,98,-27.836734693877553,-1.946808510638298,94,98,98,29.190270047412906,2.160712253953806,296,296,0,281,15,296,0,0,0
lepture__mistune.bf54ef67,bedrock_converse_arn_aws_bedrock_eu_west_1_210939678973_application_inference_profile_gewiaj6mtzjm,Qwen3 Coder 30B,full_fix,245,-3.669387755102041,-0.8930041152263375,243,245,245,70,-5.557142857142857,-0.4492753623188406,69,70,70,-1.887755102040816,0.4437287529074969,178,-1.4887640449438202,-0.5657142857142857,175,178,178,137,-7.467153284671533,-1.0875912408759123,137,137,137,5.978389239727713,0.5218769551616266,315,315,0,312,3,315,0,0,0
lepture__mistune.bf54ef67,bedrock_converse_arn_aws_bedrock_eu_west_1_210939678973_application_inference_profile_ql4mbrrqznnz,Claude Sonnet 4.6,full_fix,237,0.5738396624472574,-0.05555555555555555,234,237,237,54,-0.35185185185185186,-0.09803921568627451,51,54,54,-0.9256915142991092,-0.042483660130718956,197,-0.14720812182741116,-0.05759162303664921,191,197,197,94,1.553191489361702,-0.07446808510638298,94,94,94,-1.700399611189113,0.016876462069733762,291,291,0,285,6,291,0,0,0
lepture__mistune.bf54ef67,bedrock_converse_arn_aws_bedrock_eu_west_1_210939678973_application_inference_profile_wxnknl6gvktb,Claude Haiku 4.5,full_fix,241,-0.2074688796680498,-0.22362869198312235,237,241,241,66,-1.121212121212121,-0.3114754098360656,61,66,66,-0.9137432415440713,-0.08784671785294323,186,0.8440860215053764,-0.14124293785310735,177,186,186,121,-2.322314049586777,-0.3884297520661157,121,121,121,3.1664000710921534,0.24718681421300834,307,307,0,298,9,307,0,0,0
